광역시도,시군구,업종대분류,업종중분류,1년미만,1~2년,2~3년,3~5년,5년 이상,
서울특별시,종로구,관광/여가/오락,연극/영화/극장,1.0,2.0,42.0,39.0,16.0,
서울특별시,종로구,관광/여가/오락,전시/관람,0.0,6.0,18.0,35.0,44.0,
서울특별시,종로구,관광/여가/오락,PC/오락/당구/볼링등,0.0,5.0,12.0,86.0,20.0,
서울특별시,종로구,관광/여가/오락,경마/경륜/성인오락,0.0,1.0,1.0,1.0,2.0,
서울특별시,종로구,관광/여가/오락,스포츠/운동,0.0,0.0,1.0,0.0,0.0,
서울특별시,종로구,관광/여가/오락,요가/단전/마사지,0.0,1.0,6.0,18.0,15.0,
서울특별시,종로구,관광/여가/오락,놀이/여가/취미,0.0,0.0,4.0,6.0,2.0,
서울특별시,종로구,관광/여가/오락,무도/유흥/가무,1.0,7.0,10.0,75.0,14.0,
서울특별시,종로구,부동산,부동산중개,33.0,20.0,47.0,60.0,110.0,
서울특별시,종로구,부동산,평가/개발/관리,2.0,3.0,11.0,3.0,107.0,
서울특별시,종로구,부동산,부동산관련서비스,0.0,0.0,0.0,1.0,23.0,
서울특별시,종로구,부동산,부동산임대,1.0,1.0,25.0,18.0,31.0,
서울특별시,종로구,부동산,분양,0.0,0.0,25.0,3.0,6.0,
서울특별시,종로구,생활서비스,기타서비스업,3.0,1.0,81.0,28.0,51.0,
서울특별시,종로구,생활서비스,광고/인쇄,2.0,1.0,10.0,10.0,40.0,
서울특별시,종로구,생활서비스,예식/의례/관혼상제,3.0,2.0,2.0,9.0,8.0,
서울특별시,종로구,생활서비스,인력/고용/용역알선,0.0,0.0,10.0,9.0,29.0,
서울특별시,종로구,생활서비스,자동차/이륜차,0.0,2.0,6.0,68.0,45.0,
서울특별시,종로구,생활서비스,법무세무회계,5.0,12.0,15.0,37.0,98.0,
서울특별시,종로구,생활서비스,행사/이벤트,1.0,1.0,3.0,8.0,15.0,
서울특별시,종로구,생활서비스,개인서비스,0.0,2.0,9.0,13.0,20.0,
서울특별시,종로구,생활서비스,주택수리,1.0,0.0,9.0,2.0,17.0,
서울특별시,종로구,생활서비스,사진,7.0,5.0,5.0,17.0,18.0,
서울특별시,종로구,생활서비스,대행업,0.0,0.0,14.0,6.0,44.0,
서울특별시,종로구,생활서비스,대중목욕탕/휴게,5.0,5.0,0.0,10.0,12.0,
서울특별시,종로구,생활서비스,물품기기대여,0.0,0.0,2.0,4.0,23.0,
서울특별시,종로구,생활서비스,개인/가정용품수리,6.0,9.0,4.0,6.0,22.0,
서울특별시,종로구,생활서비스,주유소/충전소,0.0,0.0,4.0,3.0,3.0,
서울특별시,종로구,생활서비스,장례/묘지,1.0,0.0,4.0,2.0,9.0,
서울특별시,종로구,생활서비스,이/미용/건강,54.0,50.0,52.0,124.0,146.0,
서울특별시,종로구,생활서비스,세탁/가사서비스,18.0,9.0,16.0,23.0,86.0,
서울특별시,종로구,생활서비스,운송/배달/택배,4.0,2.0,6.0,9.0,66.0,
서울특별시,종로구,소매,가정/주방/인테리어,21.0,24.0,38.0,233.0,131.0,
서울특별시,종로구,소매,책/서적/도서,2.0,2.0,8.0,47.0,40.0,
서울특별시,종로구,소매,애견/애완/동물,0.0,0.0,1.0,4.0,3.0,
서울특별시,종로구,소매,건강/미용식품,7.0,6.0,10.0,21.0,50.0,
서울특별시,종로구,소매,자동차/자동차용품,0.0,0.0,6.0,10.0,15.0,
서울특별시,종로구,소매,의약/의료품소매,1.0,3.0,11.0,31.0,32.0,
서울특별시,종로구,소매,음/식료품소매,41.0,8.0,26.0,130.0,74.0,
