,Oil_store,주소,가격,셀프,상표,구
0,구천면주유소,서울 강동구 구천면로 357 (암사동),1556.0,N,현대오일뱅크,강동구
1,지에스칼텍스㈜ 신월주유소,서울 강동구 양재대로 1323 (성내동),1557.0,N,GS칼텍스,강동구
2,지에스칼텍스㈜ 동서울주유소,서울 강동구 천호대로 1456 (상일동),1560.0,Y,GS칼텍스,강동구
3,대성석유(주)직영 길동주유소,서울 강동구 천호대로 1168,1588.0,N,GS칼텍스,강동구
4,sk해뜨는주유소,서울특별시 강동구  상일로 132 (강일동),1588.0,Y,SK에너지,강동구
5,(주)퍼스트오일 코알라주유소,서울특별시 강동구  올림픽로 556 (성내동),1588.0,Y,S-OIL,강동구
6,방아다리주유소,서울 강동구 동남로 811 (명일동),1595.0,Y,SK에너지,강동구
7,주)지유에너지직영 오렌지주유소,서울특별시 강동구  성안로 102 (성내동),1597.0,N,SK에너지,강동구
8,(주)소모에너지엔테크놀러지 성내주유소,서울 강동구 올림픽로 578 (성내동),1608.0,Y,GS칼텍스,강동구
9,SK네트웍스㈜암사주유소(self),서울 강동구 올림픽로 749 (암사동),1609.0,Y,SK에너지,강동구
10,고속셀프주유소,서울 강동구 천호대로 1246,1609.0,Y,SK에너지,강동구
11,SK네트웍스 명일셀프주유소,서울 강동구 고덕로 168 (명일동),1619.0,N,SK에너지,강동구
12,광성주유소,서울 강동구 올림픽로 673 (천호동),1648.0,N,S-OIL,강동구
13,(주)삼표에너지 고덕주유소,서울 강동구 고덕로 39 (암사동),1668.0,N,GS칼텍스,강동구
14,CJ대한통운㈜ 천호점주유소,서울 강동구 천중로 67 (천호동),1727.0,N,현대오일뱅크,강동구
15,강동주유소,서울 강동구 양재대로 1509 (길동),1988.0,N,SK에너지,강동구
16,재원에너지(주)용일주유소,서울 동대문구 안암로 54 (용두동),1512.0,N,GS칼텍스,동대문구
17,풍한주유소,서울특별시 동대문구  안암로 168 (제기동),1515.0,N,SK에너지,동대문구
18,재정주유소,서울 동대문구 전농로 121 (전농동),1518.0,N,현대오일뱅크,동대문구
19,동일석유(주)강남주유소,서울특별시 동대문구  사가정로 103 (전농동),1518.0,N,SK에너지,동대문구
20,재정제2주유소,서울 동대문구 사가정로 90 (전농동),1518.0,Y,현대오일뱅크,동대문구
21,웰컴주유소,서울특별시 동대문구  한천로 414 (이문동),1525.0,N,현대오일뱅크,동대문구
22,SK경동주유소,서울 동대문구 이문로 191 (이문동),1534.0,N,SK에너지,동대문구
23,(주)열린주유소,서울 동대문구 한천로 263 (휘경동),1545.0,N,GS칼텍스,동대문구
24,삼미상사(주)장안킹셀프주유소,서울특별시 동대문구  한천로 100 (장안동),1548.0,Y,SK에너지,동대문구
25,답십리주유소,서울 동대문구 답십리로 223 (답십리동),1549.0,N,GS칼텍스,동대문구
26,삼영주유소,서울 동대문구 답십리로 258 (장안동),1549.0,N,SK에너지,동대문구
27,(주)파랑에너지,서울특별시 동대문구  망우로 1 (휘경동)126,1559.0,Y,GS칼텍스,동대문구
28,오동나무주유소,서울특별시 동대문구  한천로 81 (답십리동),1568.0,N,S-OIL,동대문구
29,삼원셀프주유소,서울 동대문구 망우로 90 (휘경동),1569.0,Y,SK에너지,동대문구
30,대성산업(주)동마장주유소,서울 동대문구 고산자로 405 (용두동),1579.0,N,GS칼텍스,동대문구
31,홍능주유소,서울 동대문구 홍릉로 87 (청량리동),1589.0,N,S-OIL,동대문구
32,한영주유소 (한화),서울 동대문구 망우로 38 (휘경동),1595.0,N,현대오일뱅크,동대문구
33,대성산업㈜청량리주유소,서울 동대문구 왕산로 289 (청량리동),1599.0,N,GS칼텍스,동대문구
34,SK네트웍스스피드주유소,서울 동대문구 천호대로 453 (장안동),1639.0,N,SK에너지,동대문구
35,능주주유소,서울 동대문구 청계천로 431 (신설동),1688.0,N,SK에너지,동대문구
36,신성주유소,서울 동대문구 장한로 29 (장안동),1894.0,N,현대오일뱅크,동대문구
37,창원ENG,서울 동작구 사당로 59 (상도동),1544.0,N,현대오일뱅크,동작구
38,현대오일뱅크(주)직영 사당셀프주유소,서울특별시 동작구  동작대로 73 (사당동),1554.0,Y,현대오일뱅크,동작구
39,(주)성림에너지 남성주유소,서울특별시 동작구  동작대로 135 (사당동),1554.0,Y,GS칼텍스,동작구
40,매일주유소,서울특별시 동작구  상도로 139 (상도동),1559.0,N,S-OIL,동작구
41,21세기주유소,서울 동작구 시흥대로 616 (신대방동),1559.0,Y,SK에너지,동작구
42,지에스칼텍스(주) 대방주유소,서울 동작구 여의대방로 214,1575.0,N,GS칼텍스,동작구
43,대성산업(주) 노량진주유소,서울 동작구 노량진로 172 (노량진동),1579.0,N,GS칼텍스,동작구
44,흑석동,서울 동작구 현충로 101 (흑석동),1585.0,Y,SK에너지,동작구
45,현대오일뱅크(주)직영 동작주유소,서울 동작구 상도로 403 (상도동),1594.0,N,현대오일뱅크,동작구
46,살피재주유소,서울 동작구 상도로 334,1635.0,N,SK에너지,동작구
47,성산주유소,서울 마포구  월드컵북로 170 (성산제2동),1607.0,N,SK에너지,마포구
48,마포시엠주유소,서울 마포구 월드컵북로62 (성산동),1617.0,N,GS칼텍스,마포구
49,용강주유소,서울특별시 마포구  토정로 260 (용강동),1639.0,N,S-OIL,마포구
50,(주)만성상사(대흥),서울 마포구 대흥로 61 (대흥동),1641.0,N,SK에너지,마포구
51,청원주유소,서울 마포구 월드컵북로 113 (성산동),1658.0,N,현대오일뱅크,마포구
52,안국주유소,서울 마포구 양화로 33 (합정동),1780.0,N,SK에너지,마포구
53,마포주유소,서울 마포구 마포대로 186 (공덕동),1798.0,N,S-OIL,마포구
54,성산대교(해월),서울 마포구 성산로 144 (성산동),1819.0,N,SK에너지,마포구
55,Happy Auto,서울 마포구 서강로 76 (창전동),1849.0,N,SK에너지,마포구
56,합정주유소,서울 마포구 양화로 13 (합정동),1859.0,N,SK에너지,마포구
57,SK에너지 양지주유소,서울 마포구 마포대로 69 (도화동),1871.0,N,SK에너지,마포구
58,(주)창원이엔지 홍제지점,서울 서대문구 통일로 455 (홍제동),1539.0,N,현대오일뱅크,서대문구
59,(주)가재울뉴타운주유소,서울특별시 서대문구 모래내로 205(남가좌동),1553.0,Y,현대오일뱅크,서대문구
60,남정주유소,서울특별시 서대문구  모래내로 243 (남가좌동),1558.0,N,GS칼텍스,서대문구
61,코리아상사연세주유소,서울 서대문구 연희로 184,1558.0,N,GS칼텍스,서대문구
62,(주)마봉 신우주유소,서울 서대문구 가좌로 106 (홍은동),1559.0,Y,S-OIL,서대문구
